Date,Product,Category,Quantity,Unit_Price,Revenue,Region,Sales_Rep
2024-09-18,Monitor,Electronics,1,15000,15000,North,Priya Sharma
2024-01-07,Smartwatch,Accessories,8,7000,56000,North,John Smith
2024-02-23,Smartwatch,Accessories,10,7000,70000,East,John Smith
2024-01-08,Laptop,Electronics,7,55000,385000,East,Sara Lee
2024-05-31,Smartphone,Electronics,8,20000,160000,North,Priya Sharma
2024-01-08,Headphones,Accessories,4,3000,12000,West,Sara Lee
2024-04-22,Smartphone,Electronics,2,20000,40000,North,Ravi Kumar
2024-09-27,Monitor,Electronics,10,15000,150000,North,Ravi Kumar
2024-09-18,Smartwatch,Accessories,6,7000,42000,South,Ravi Kumar
2024-08-04,Monitor,Electronics,3,15000,45000,East,Alex Johnson
2024-08-12,Smartphone,Electronics,2,20000,40000,West,Ravi Kumar
2024-06-23,Smartphone,Electronics,1,20000,20000,North,Michael Brown
2024-01-30,Laptop,Electronics,10,55000,550000,West,Priya Sharma
2024-02-08,Smartphone,Electronics,7,20000,140000,West,Alex Johnson
2024-04-03,Smartphone,Electronics,7,20000,140000,East,Sara Lee
2024-05-02,Desk,Furniture,5,15000,75000,North,Michael Brown
2024-09-13,Camera,Electronics,6,35000,210000,South,Sara Lee
2024-04-10,Desk,Furniture,1,15000,15000,East,Priya Sharma
2024-10-24,Office Chair,Furniture,3,9000,27000,East,Ravi Kumar
2024-01-08,Printer,Electronics,4,12000,48000,East,Sara Lee
2024-07-09,Camera,Electronics,5,35000,175000,North,John Smith
2024-06-11,Office Chair,Furniture,10,9000,90000,West,Michael Brown
2024-04-10,Smartwatch,Accessories,1,7000,7000,West,John Smith
2024-06-23,Smartwatch,Accessories,4,7000,28000,West,Michael Brown
2024-02-17,Desk,Furniture,4,15000,60000,West,Priya Sharma
2024-01-29,Office Chair,Furniture,10,9000,90000,East,John Smith
2024-06-04,Office Chair,Furniture,1,9000,9000,East,Ravi Kumar
2024-05-19,Tablet,Electronics,10,25000,250000,East,Ravi Kumar
2024-11-10,Headphones,Accessories,10,3000,30000,South,Michael Brown
2024-05-03,Smartwatch,Accessories,6,7000,42000,South,John Smith
2024-10-15,Laptop,Electronics,10,55000,550000,West,Michael Brown
2024-02-06,Laptop,Electronics,1,55000,55000,East,John Smith
2024-09-21,Camera,Electronics,10,35000,350000,South,Ravi Kumar
2024-11-01,Laptop,Electronics,6,55000,330000,West,Alex Johnson
2024-11-26,Tablet,Electronics,7,25000,175000,West,Alex Johnson
2024-01-26,Printer,Electronics,1,12000,12000,West,Priya Sharma
2024-08-23,Office Chair,Furniture,2,9000,18000,East,Priya Sharma
2024-07-19,Desk,Furniture,7,15000,105000,West,John Smith
2024-12-12,Desk,Furniture,4,15000,60000,West,Sara Lee
2024-06-25,Headphones,Accessories,10,3000,30000,East,John Smith
2024-05-26,Laptop,Electronics,9,55000,495000,North,Alex Johnson
2024-10-27,Printer,Electronics,5,12000,60000,West,Sara Lee
2024-08-21,Desk,Furniture,7,15000,105000,North,Ravi Kumar
2024-08-30,Desk,Furniture,2,15000,30000,East,Michael Brown
2024-04-23,Smartwatch,Accessories,10,7000,70000,North,Alex Johnson
2024-03-17,Printer,Electronics,2,12000,24000,West,Sara Lee
2024-02-04,Laptop,Electronics,10,55000,550000,South,Sara Lee
2024-06-23,Smartphone,Electronics,6,20000,120000,East,Michael Brown
2024-03-29,Headphones,Accessories,8,3000,24000,West,Michael Brown
2024-03-10,Desk,Furniture,2,15000,30000,South,John Smith
2024-01-15,Printer,Electronics,7,12000,84000,East,Michael Brown
2024-10-12,Office Chair,Furniture,9,9000,81000,South,Sara Lee
2024-02-15,Printer,Electronics,1,12000,12000,South,Sara Lee
2024-01-14,Laptop,Electronics,4,55000,220000,East,Alex Johnson
2024-07-24,Smartwatch,Accessories,4,7000,28000,North,Ravi Kumar
2024-10-13,Printer,Electronics,10,12000,120000,North,Michael Brown
2024-07-11,Smartwatch,Accessories,1,7000,7000,East,Ravi Kumar
2024-02-26,Desk,Furniture,8,15000,120000,West,Michael Brown
2024-04-08,Headphones,Accessories,5,3000,15000,East,Michael Brown
2024-03-01,Tablet,Electronics,3,25000,75000,North,Alex Johnson
2024-04-04,Camera,Electronics,3,35000,105000,South,Alex Johnson
2024-10-18,Headphones,Accessories,10,3000,30000,West,Sara Lee
2024-12-04,Printer,Electronics,10,12000,120000,South,John Smith
2024-10-22,Camera,Electronics,6,35000,210000,East,Sara Lee
2024-12-12,Printer,Electronics,1,12000,12000,South,Alex Johnson
2024-04-04,Headphones,Accessories,9,3000,27000,West,Sara Lee
2024-06-04,Smartphone,Electronics,4,20000,80000,West,Ravi Kumar
2024-01-28,Headphones,Accessories,2,3000,6000,South,Priya Sharma
2024-10-23,Camera,Electronics,7,35000,245000,East,Alex Johnson
2024-03-03,Smartwatch,Accessories,9,7000,63000,West,Michael Brown
2024-06-27,Smartwatch,Accessories,4,7000,28000,West,Ravi Kumar
2024-04-27,Laptop,Electronics,10,55000,550000,South,Ravi Kumar
2024-07-04,Printer,Electronics,8,12000,96000,West,Alex Johnson
2024-04-05,Office Chair,Furniture,9,9000,81000,South,John Smith
2024-04-07,Tablet,Electronics,6,25000,150000,North,Ravi Kumar
2024-09-14,Tablet,Electronics,5,25000,125000,South,Sara Lee
2024-09-05,Laptop,Electronics,3,55000,165000,East,Michael Brown
2024-06-23,Office Chair,Furniture,10,9000,90000,East,John Smith
2024-06-03,Printer,Electronics,2,12000,24000,West,Ravi Kumar
2024-08-20,Monitor,Electronics,8,15000,120000,East,Alex Johnson
2024-06-16,Printer,Electronics,3,12000,36000,North,John Smith
2024-06-04,Office Chair,Furniture,9,9000,81000,North,Sara Lee
2024-08-30,Desk,Furniture,10,15000,150000,North,Sara Lee
2024-12-02,Printer,Electronics,4,12000,48000,North,Priya Sharma
2024-05-04,Printer,Electronics,6,12000,72000,North,Michael Brown
2024-11-15,Monitor,Electronics,4,15000,60000,East,John Smith
2024-06-28,Monitor,Electronics,10,15000,150000,North,Ravi Kumar
2024-01-31,Smartwatch,Accessories,5,7000,35000,East,Alex Johnson
2024-01-12,Smartwatch,Accessories,7,7000,49000,North,Michael Brown
2024-08-17,Headphones,Accessories,4,3000,12000,East,John Smith
2024-06-10,Smartphone,Electronics,3,20000,60000,East,Priya Sharma
2024-04-01,Headphones,Accessories,8,3000,24000,East,Sara Lee
2024-07-02,Laptop,Electronics,6,55000,330000,North,Sara Lee
2024-12-25,Laptop,Electronics,10,55000,550000,West,Alex Johnson
2024-03-21,Office Chair,Furniture,4,9000,36000,South,Alex Johnson
2024-01-01,Camera,Electronics,7,35000,245000,West,Alex Johnson
2024-11-11,Laptop,Electronics,8,55000,440000,South,Michael Brown
2024-11-20,Desk,Furniture,8,15000,120000,East,Priya Sharma
2024-01-13,Smartphone,Electronics,4,20000,80000,West,Michael Brown
2024-10-07,Camera,Electronics,1,35000,35000,North,Michael Brown
2024-11-10,Monitor,Electronics,4,15000,60000,East,Sara Lee
2024-12-31,Desk,Furniture,8,15000,120000,East,Priya Sharma
2024-03-10,Smartwatch,Accessories,3,7000,21000,West,Sara Lee
2024-11-24,Desk,Furniture,10,15000,150000,South,John Smith
2024-01-29,Headphones,Accessories,3,3000,9000,East,Sara Lee
2024-01-10,Desk,Furniture,6,15000,90000,East,Ravi Kumar
2024-03-18,Smartwatch,Accessories,10,7000,70000,South,Sara Lee
2024-04-12,Camera,Electronics,7,35000,245000,South,Michael Brown
2024-08-09,Laptop,Electronics,3,55000,165000,West,John Smith
2024-08-29,Monitor,Electronics,7,15000,105000,West,John Smith
2024-07-29,Headphones,Accessories,9,3000,27000,East,Alex Johnson
2024-02-05,Laptop,Electronics,7,55000,385000,North,Michael Brown
2024-09-24,Smartphone,Electronics,3,20000,60000,East,Alex Johnson
2024-02-15,Headphones,Accessories,4,3000,12000,North,Alex Johnson
2024-11-30,Tablet,Electronics,10,25000,250000,South,Ravi Kumar
2024-08-01,Laptop,Electronics,2,55000,110000,North,Michael Brown
2024-03-29,Office Chair,Furniture,5,9000,45000,South,Michael Brown
2024-06-11,Monitor,Electronics,7,15000,105000,West,Alex Johnson
2024-01-23,Tablet,Electronics,5,25000,125000,West,Priya Sharma
2024-05-17,Printer,Electronics,10,12000,120000,North,Alex Johnson
2024-01-31,Desk,Furniture,2,15000,30000,West,Alex Johnson
2024-02-19,Desk,Furniture,3,15000,45000,East,Priya Sharma
2024-10-11,Printer,Electronics,9,12000,108000,East,Alex Johnson
2024-09-23,Office Chair,Furniture,7,9000,63000,North,Priya Sharma
2024-03-09,Smartphone,Electronics,1,20000,20000,West,Priya Sharma
2024-12-14,Monitor,Electronics,10,15000,150000,East,John Smith
2024-02-14,Printer,Electronics,7,12000,84000,West,Sara Lee
2024-09-15,Smartwatch,Accessories,2,7000,14000,South,Priya Sharma
2024-09-28,Camera,Electronics,8,35000,280000,North,Ravi Kumar
2024-08-26,Smartphone,Electronics,1,20000,20000,South,Michael Brown
2024-06-18,Headphones,Accessories,8,3000,24000,East,Ravi Kumar
2024-03-30,Headphones,Accessories,10,3000,30000,East,Sara Lee
2024-07-20,Headphones,Accessories,7,3000,21000,West,John Smith
2024-08-02,Laptop,Electronics,2,55000,110000,West,Alex Johnson
2024-12-07,Smartwatch,Accessories,7,7000,49000,South,Alex Johnson
2024-08-01,Printer,Electronics,5,12000,60000,South,John Smith
2024-04-12,Headphones,Accessories,7,3000,21000,East,Priya Sharma
2024-03-23,Smartphone,Electronics,6,20000,120000,North,Ravi Kumar
2024-12-07,Smartphone,Electronics,1,20000,20000,North,Sara Lee
2024-02-25,Monitor,Electronics,4,15000,60000,North,Sara Lee
2024-07-15,Office Chair,Furniture,7,9000,63000,West,Ravi Kumar
2024-09-02,Printer,Electronics,8,12000,96000,South,Sara Lee
2024-08-26,Smartwatch,Accessories,4,7000,28000,North,Priya Sharma
2024-12-21,Smartwatch,Accessories,1,7000,7000,South,Sara Lee
2024-11-12,Monitor,Electronics,3,15000,45000,North,Sara Lee
2024-10-01,Headphones,Accessories,8,3000,24000,West,Michael Brown
2024-08-24,Office Chair,Furniture,6,9000,54000,West,Priya Sharma
2024-05-23,Tablet,Electronics,10,25000,250000,North,John Smith
2024-06-11,Smartwatch,Accessories,1,7000,7000,East,Alex Johnson
2024-11-30,Tablet,Electronics,4,25000,100000,South,Priya Sharma
2024-05-01,Printer,Electronics,4,12000,48000,East,Ravi Kumar
2024-11-19,Smartphone,Electronics,6,20000,120000,West,Sara Lee
2024-12-21,Office Chair,Furniture,1,9000,9000,West,Ravi Kumar
2024-12-02,Printer,Electronics,7,12000,84000,East,Sara Lee
2024-01-01,Monitor,Electronics,4,15000,60000,South,Sara Lee
2024-01-27,Desk,Furniture,7,15000,105000,North,Sara Lee
2024-02-11,Laptop,Electronics,2,55000,110000,North,Alex Johnson
2024-09-18,Laptop,Electronics,4,55000,220000,North,Ravi Kumar
2024-04-15,Office Chair,Furniture,7,9000,63000,South,Ravi Kumar
2024-04-26,Smartphone,Electronics,2,20000,40000,South,John Smith
2024-12-03,Camera,Electronics,1,35000,35000,West,Ravi Kumar
2024-08-18,Desk,Furniture,1,15000,15000,South,Sara Lee
2024-06-15,Camera,Electronics,5,35000,175000,East,Sara Lee
2024-05-08,Headphones,Accessories,9,3000,27000,South,Alex Johnson
2024-01-18,Monitor,Electronics,6,15000,90000,East,Michael Brown
2024-01-09,Smartwatch,Accessories,9,7000,63000,South,John Smith
2024-11-27,Laptop,Electronics,10,55000,550000,West,Ravi Kumar
2024-06-06,Smartphone,Electronics,8,20000,160000,West,John Smith
2024-01-04,Printer,Electronics,1,12000,12000,North,Priya Sharma
2024-03-17,Smartphone,Electronics,3,20000,60000,West,John Smith
2024-11-28,Headphones,Accessories,9,3000,27000,North,Ravi Kumar
2024-04-13,Camera,Electronics,8,35000,280000,West,Michael Brown
2024-11-29,Headphones,Accessories,4,3000,12000,South,Alex Johnson
2024-11-12,Smartwatch,Accessories,5,7000,35000,South,Michael Brown
2024-11-01,Laptop,Electronics,5,55000,275000,West,Sara Lee
2024-02-26,Camera,Electronics,4,35000,140000,North,Ravi Kumar
2024-02-22,Camera,Electronics,10,35000,350000,North,Alex Johnson
2024-12-03,Desk,Furniture,4,15000,60000,West,Michael Brown
2024-09-10,Smartwatch,Accessories,2,7000,14000,East,Alex Johnson
2024-07-31,Smartphone,Electronics,3,20000,60000,South,Michael Brown
2024-06-08,Printer,Electronics,3,12000,36000,South,Alex Johnson
2024-07-15,Camera,Electronics,8,35000,280000,South,Sara Lee
2024-12-08,Laptop,Electronics,9,55000,495000,North,John Smith
2024-01-17,Smartwatch,Accessories,5,7000,35000,South,Priya Sharma
2024-09-16,Desk,Furniture,5,15000,75000,East,Priya Sharma
2024-06-19,Office Chair,Furniture,5,9000,45000,South,John Smith
2024-09-21,Tablet,Electronics,5,25000,125000,East,Michael Brown
2024-08-04,Headphones,Accessories,10,3000,30000,North,Sara Lee
2024-03-16,Desk,Furniture,9,15000,135000,West,Alex Johnson
2024-12-04,Monitor,Electronics,3,15000,45000,North,Ravi Kumar
2024-12-14,Tablet,Electronics,7,25000,175000,North,Ravi Kumar
2024-01-17,Printer,Electronics,8,12000,96000,South,Michael Brown
2024-07-07,Printer,Electronics,6,12000,72000,South,Priya Sharma
2024-03-05,Tablet,Electronics,9,25000,225000,West,Sara Lee
2024-10-03,Monitor,Electronics,10,15000,150000,North,Alex Johnson
2024-01-08,Monitor,Electronics,4,15000,60000,South,Sara Lee
2024-09-20,Headphones,Accessories,5,3000,15000,North,Sara Lee
2024-08-27,Headphones,Accessories,10,3000,30000,South,Sara Lee
2024-09-15,Smartphone,Electronics,7,20000,140000,North,Ravi Kumar
2024-05-18,Camera,Electronics,4,35000,140000,North,Ravi Kumar
